category,storename,type,address,lot_address,postal_code,rating,latitude,longitude,images,hours,menu
논현역 카페,셀렉커피랩 강남논현점,"카페,디저트",서울 강남구 강남대로122길 39-9 지상1층,논현동 160-6,06114,0.0,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231218_42%2F1702828325698WUCUg_PNG%2F%25BC%25BF%25B7%25BA%25B7%25CE%25B0%25ED%25B8%25B8%25B0%25CB%25C1%25A4.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231221_113%2F1703124159381X7CSG_JPEG%2FIMG_9068.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231221_276%2F1703124158395eBeje_JPEG%2FIMG_9063.jpeg""]","{""대체 정보"": ""매일\n00:00 - 24:00""}","[""셀렉라떼시그니처 5500"", ""셀렉커피시그니처 5200"", ""셀렉 바닐라라떼 5000"", ""셀렉밀크 아메리카노 3500""]"
논현역 카페,쿠운,"카페,디저트",서울 서초구 강남대로83길 18 104호,반포동 735-34,06536,0.0,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240601_89%2F1717223102797VrsTB_JPEG%2F1et3HHqM6g_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240714_95%2F1720924615429x1Esa_JPEG%2FIMG_9387.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241031_208%2F1730362015379AS3I7_PNG%2FIMG_0536.png""]","{""목"": [""11:30 - 21:50"", ""21:45 라스트오더""], ""금"": [""11:30 - 21:50"", ""21:45 라스트오더""], ""토"": [""12:00 - 21:50"", ""21:45 라스트오더""], ""일"": [""12:00 - 21:50"", ""21:45 라스트오더""], ""월"": [""11:30 - 21:50"", ""21:45 라스트오더""], ""화"": [""11:30 - 21:50"", ""21:45 라스트오더""], ""수"": [""11:30 - 21:50"", ""21:45 라스트오더"", ""- 9/16(월) 19:00 단축영업 빼고 정상영업합니다"", ""접기"", ""영업시간 수정 제안하기""]}","[""수제딸기스모어초콜릿딕만스초콜릿 5500"", ""수제 두바이 초콜릿 5500"", ""가나슈쿠키샌드 휘낭시에 4000"", ""두바이 초콜릿 휘낭시에 5500""]"
논현역 카페,드렁큰빈,"카페,디저트",서울 서초구 사평대로55길 56 드렁큰 빈 B1F-5F,반포동 735-23,06536,0.0,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240924_251%2F1727180664354m2LR7_PNG%2FDSCF0220.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240719_86%2F1721400903370aQuWf_JPEG%2F1.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240719_269%2F1721401001682r67Wc_JPEG%2FKakaoTalk_20240719_194725890.jpg""]","{""대체 정보"": ""매일\n10:00 - 22:00""}","[""드렁큰 빈 콜드브루 바틀 23000"", ""드렁큰 빈 콜드브루 10000"", ""에스프레소 6000"", ""아메리카노 6000""]"
논현역 카페,인터랙트 with 글루텐프리,카페,서울 강남구 강남대로118길 16 1층,논현동 183-3,06120,4.55,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221217_3%2F16712667763394yrre_JPEG%2F%25B5%25FE%25B1%25E2_%25C4%25C9%25C0%25CC%25C5%25A9_%25C0%25CC%25B9%25CC%25C1%25F6.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220819_54%2F1660868273963LHSXw_JPEG%2F5204421D-6A2D-408E-AC5A-225CE2D6C9F7.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220819_249%2F1660868274099jwmfK_JPEG%2F2FAFF695-CA1A-4363-96C9-7E55F8E979C7.jpeg""]","{""목"": [""11:00 - 22:00"", ""21:40 라스트오더""], ""금"": [""11:00 - 22:00"", ""21:40 라스트오더""], ""토"": [""11:00 - 22:00"", ""21:40 라스트오더""], ""일"": [""정기휴무 (매주 일요일)""], ""월"": [""11:00 - 21:00"", ""20:40 라스트오더""], ""화"": [""11:00 - 21:00"", ""20:40 라스트오더""], ""수"": [""11:00 - 21:00"", ""20:40 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","[""비건 초코 크라운 3800"", ""설탕 없는 버터바 4900"", ""노슈가 모카크림라떼 8000"", ""노슈가 블루베리 케이크 8800""]"
논현역 카페,커피빈 영동점,카페,서울 서초구 강남대로 503 청하빌딩,반포동 736-17,06536,4.46,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230630_120%2F1688087603358YxKpJ_JPEG%2F61%25C8%25A3_%25BF%25B5%25B5%25BF%25C1%25A1___%25B8%25C5%25C0%25E5%25B8%25AE%25B4%25BA%25BE%25F3%25BB%25E7%25C1%25F8_%25BE%25D5%25B9%25AE.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230630_86%2F1688087603313CmcX3_JPEG%2F61%25C8%25A3_%25BF%25B5%25B5%25BF%25C1%25A1___%25B8%25C5%25C0%25E5%25B8%25AE%25B4%25BA%25BE%25F3%25BB%25E7%25C1%25F8__%25C5%25B0%25BF%25C0%25BD%25BA%25C5%25A9_%25B5%25DE%25C0%25DA%25B8%25AE.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230630_135%2F1688087603329WSijr_JPEG%2F61%25C8%25A3_%25BF%25B5%25B5%25BF%25C1%25A1___%25B8%25C5%25C0%25E5%25B8%25AE%25B4%25BA%25BE%25F3%25BB%25E7%25C1%25F8_%25BF%25A1%25C4%25C3%25BE%25D5%25C0%25DA%25B8%25AE.jpg""]","{""목"": [""11:00 - 22:00"", ""21:40 라스트오더""], ""금"": [""11:00 - 22:00"", ""21:40 라스트오더""], ""토"": [""11:00 - 22:00"", ""21:40 라스트오더""], ""일"": [""정기휴무 (매주 일요일)""], ""월"": [""11:00 - 21:00"", ""20:40 라스트오더""], ""화"": [""11:00 - 21:00"", ""20:40 라스트오더""], ""수"": [""11:00 - 21:00"", ""20:40 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","[""바닐라 루이보스 티N 6000원"", ""아이스 카푸치노N 5900원"", ""바닐라 루이보스 티라떼N 7000원"", ""얼그레이 크림 초콜릿 라떼 SN 5900원""]"
논현역 카페,카페더비 신사본점,카페,서울 서초구 강남대로95길 12 에버빌딩 1층,잠원동 27-11,06526,0.0,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230704_185%2F1688477138647mjLhj_JPEG%2FIMG_0683.JPG"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230704_139%2F1688477488125xT33X_JPEG%2F%25BD%25BD%25B6%25F3%25C0%25CC%25B5%25E51.JPG"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240811_241%2F1723363820715J23Xu_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD-2-23.png""]","{""목"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""금"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""토"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""일"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""월"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""화"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""수"": [""09:00 - 20:00"", ""19:50 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","[""라떼아인슈페너 7000"", ""아인슈페너 6500"", ""카페라떼 5500"", ""블루베리 요거트스무디 6800""]"
논현역 카페,달꼬미 논현점,카페,서울 강남구 강남대로122길 30-10 1층 달꼬미 논현점,논현동 167-16,06119,0.0,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230606_156%2F1686033113084gUIem_JPEG%2FKakaoTalk_20230606_153101263.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230606_209%2F1686033118080PzO5c_JPEG%2FKakaoTalk_20230606_153101263_01.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211117_243%2F1637119718697UOFVr_JPEG%2FKakaoTalk_20211103_154210520.jpg""]","{""목"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""금"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""토"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""일"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""월"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""화"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""수"": [""09:00 - 20:00"", ""19:50 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","[""레터링케이크 9500"", ""브라운치즈 크로플 5000"", ""바닐라라떼 3500"", ""아메리카노 1""]"
논현역 카페,콘띠오 ConTio,"카페,디저트",서울 서초구 신반포로45길 38 1층 카페 콘띠오 ConTio,잠원동 35-24,06530,4.28,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221227_34%2F1672114314850Naxy0_JPEG%2F4AF5B9FB-9D99-49C8-9310-E6C9DE897CCF.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221227_187%2F1672114316016wsVQy_JPEG%2FD64D2200-446D-4F14-A0CF-950809EEFA09.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221227_116%2F1672114315802XoRdM_JPEG%2F8E60CCD2-14B7-4948-B685-F2909973DFF7.jpeg""]","{""목"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""금"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""토"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""일"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""월"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""화"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""수"": [""09:00 - 20:00"", ""19:50 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","[""만차다 5500"", ""콘레체 5500""]"
논현역 카페,달리는커피 강남논현점,카페,서울 강남구 학동로20길 67,논현동 158-32,06115,4.4,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231213_265%2F17024396457191i9oq_PNG%2Flogo_1280.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231213_182%2F1702439654432yQbEb_GIF%2F%25BE%25F7%25C3%25BC%25BB%25E7%25C1%25F82.G"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231213_20%2F170243965756309chM_GIF%2F%25BE%25F7%25C3%25BC%25BB%25E7%25C1%25F83.G""]","{""목"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""금"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""토"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""일"": [""10:00 - 19:00"", ""18:50 라스트오더""], ""월"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""화"": [""09:00 - 20:00"", ""19:50 라스트오더""], ""수"": [""09:00 - 20:00"", ""19:50 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","[""치킨집인가 커피집인가 HIT케이준 치킨 샌드위치 8900"", ""달커 시그니처베이컨 올리브 샌드위치 8500"", ""BEST1시그니처 파스타 샐러드571kcal 8900"", ""BEST3훈제 연어 샐러드282kcal 11900""]"
논현역 카페,재즈클럽 그루브,라이브카페,서울 서초구 신반포로47길 52 동구빌딩,잠원동 36-3,06530,0.0,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210106_291%2F16099041589880cd39_JPEG%2FNEFURDzZGK7Os0yCjVsahQ20.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230621_67%2F1687307787618p60NF_JPEG%2FIMG_0526.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20220925_221%2F1664068673255p6j5F_JPEG%2F7090376B-805C-460C-A9D0-3DA1CC0925FF.JPG""]","{""대체 정보"": ""매일\n00:00 - 24:00""}","[""수입맥주 외 10000"", ""국산맥주 외 7000""]"
